[2026-04-03 06:35:44,992] INFO - device=cuda:0
[2026-04-03 06:39:09,717] INFO - epoch=1 tr_loss=1.0025 val_loss=1.2756 auc=0.1633 f1=0.4444 sen=0.5714 spe=0.0000
[2026-04-03 06:41:44,529] INFO - epoch=2 tr_loss=0.2917 val_loss=2.1959 auc=0.0816 f1=0.1429 sen=0.1429 spe=0.1429
[2026-04-03 06:44:22,769] INFO - epoch=3 tr_loss=0.4427 val_loss=0.9520 auc=0.2449 f1=0.3750 sen=0.4286 spe=0.1429
[2026-04-03 06:46:55,159] INFO - epoch=4 tr_loss=0.1096 val_loss=1.0068 auc=0.3673 f1=0.2500 sen=0.1429 spe=1.0000
[2026-04-03 06:49:25,007] INFO - epoch=5 tr_loss=0.1960 val_loss=3.1191 auc=0.0816 f1=0.1333 sen=0.1429 spe=0.0000
[2026-04-03 06:51:46,887] INFO - epoch=6 tr_loss=0.1196 val_loss=1.0520 auc=0.2959 f1=0.5263 sen=0.7143 spe=0.0000
[2026-04-03 06:53:50,783] INFO - epoch=7 tr_loss=0.1982 val_loss=1.7936 auc=0.3061 f1=0.3529 sen=0.4286 spe=0.0000
[2026-04-03 06:55:49,304] INFO - epoch=8 tr_loss=0.1458 val_loss=0.7290 auc=0.6122 f1=0.6316 sen=0.8571 spe=0.1429
[2026-04-03 06:57:54,351] INFO - epoch=9 tr_loss=0.0812 val_loss=0.9297 auc=0.8571 f1=0.6667 sen=1.0000 spe=0.0000
[2026-04-03 06:59:42,263] INFO - epoch=10 tr_loss=0.0708 val_loss=2.2779 auc=0.1633 f1=0.2667 sen=0.2857 spe=0.1429
[2026-04-03 06:59:43,055] INFO - best_auc=0.8571
