[2026-04-03 11:35:24,183] INFO - device=cuda:0
[2026-04-03 11:38:03,454] INFO - epoch=1 tr_loss=0.8100 val_loss=1.7977 auc=0.1735 f1=0.0000 sen=0.0000 spe=1.0000
[2026-04-03 11:40:23,105] INFO - epoch=2 tr_loss=0.6238 val_loss=0.6030 auc=0.7959 f1=0.5455 sen=0.4286 spe=0.8571
[2026-04-03 11:42:42,357] INFO - epoch=3 tr_loss=0.4400 val_loss=1.0265 auc=0.8367 f1=0.0000 sen=0.0000 spe=1.0000
[2026-04-03 11:44:47,912] INFO - epoch=4 tr_loss=0.3402 val_loss=0.9877 auc=0.8367 f1=0.0000 sen=0.0000 spe=1.0000
[2026-04-03 11:46:55,417] INFO - epoch=5 tr_loss=0.3435 val_loss=0.5005 auc=0.9388 f1=0.7273 sen=0.5714 spe=1.0000
[2026-04-03 11:48:48,733] INFO - epoch=6 tr_loss=0.2101 val_loss=0.6378 auc=0.8776 f1=0.4444 sen=0.2857 spe=1.0000
[2026-04-03 11:50:44,895] INFO - epoch=7 tr_loss=0.3024 val_loss=0.6494 auc=0.8776 f1=0.2500 sen=0.1429 spe=1.0000
[2026-04-03 11:52:27,909] INFO - epoch=8 tr_loss=0.1866 val_loss=0.7738 auc=0.8776 f1=0.0000 sen=0.0000 spe=1.0000
[2026-04-03 11:54:14,374] INFO - epoch=9 tr_loss=0.0781 val_loss=1.2545 auc=0.9388 f1=0.0000 sen=0.0000 spe=1.0000
[2026-04-03 11:55:56,625] INFO - epoch=10 tr_loss=0.1795 val_loss=0.1327 auc=1.0000 f1=1.0000 sen=1.0000 spe=1.0000
[2026-04-03 11:55:58,842] INFO - best_auc=1.0000
